Observation,Burn.unit,Plot.no,Fuel.trt,Logger.pos,Profile,GreenFreq,Peak.temp,Ambient.temp,Max.temp.incr,Duration.emp,Total.heat.emp,Notes
63,Tallwinds,13498,Increase,4Below,PROFILE,80,27,22.62809288,4.37190712,,0,big peak at 3 is not from fire
64,Tallwinds,13498,Increase,Above,PROFILE,80,,,,,,Outlier removed: MaxFireTemp (231.258152); HeatingAmount (202.634547)
65,Tallwinds,13498,Increase,Surface,PROFILE,80,583.5354545,27.02138966,556.5140649,18.38333333,48.7464351,
66,Tallwinds,13503,Increase,Surface,NO,36,245.51,22.8199904,222.6900096,41.85,40.61067677,
67,Tallwinds,13506,Control,Surface,NO,97,451.7572727,45.75478043,406.0024923,15.51666667,18.75291641,
68,Tallwinds,13510,Increase,Surface,NO,63,135.49,22.40054424,113.0894558,19.78333333,8.243985606,
69,Tallwinds,13517,Control,1Below,PROFILE,97,51.32,28.62072262,22.69927738,,0,
70,Tallwinds,13517,Control,2Below,PROFILE,97,32.68,26.60738946,6.072610541,,0,
71,Tallwinds,13517,Control,4Below,PROFILE,97,28.67,24.96789327,3.702106726,,0,
72,Tallwinds,13517,Control,Above,PROFILE,97,393.4263636,43.23696498,350.1893987,10.6,11.69312803,
